,weekday,CL1_Comdty_PX-LAST-CHF,CL1_Comdty_start,CL1_Comdty_weeklyReturn,CL1_Comdty_buy,CL1_Comdty_sell,HO1_Comdty_PX-LAST-CHF,HO1_Comdty_start,HO1_Comdty_weeklyReturn,HO1_Comdty_buy,HO1_Comdty_sell,GC1_Comdty_PX-LAST-CHF,GC1_Comdty_start,GC1_Comdty_weeklyReturn,GC1_Comdty_buy,GC1_Comdty_sell,considered_assets,sub_considered_assets_1,sub_considered_assets_2,weighted_return,weighted_return_l,weighted_return_s
2003-02-21,Friday,152.25184,start,,,,1.76657,start,,-100.0,,775.0168,start,,100.0,,"{'GC1_Comdty': 2.0, 'CL1_Comdty': 2.0, 'HO1_Comdty': 2.0}","{'GC1_Comdty': -8.725108320776066, 'CL1_Comdty': -32.93702783286548, 'HO1_Comdty': -33.164227054564755}","{'HO1_Comdty': 7.886556396944953, 'CL1_Comdty': 2.6784880057350855, 'GC1_Comdty': -2.1411994078146184}",,,
2003-02-22,Saturday,152.25184,,,,,1.76657,,,,,775.0168,,,,,,,,,,
2003-02-23,Sunday,152.25184,,,,,1.76657,,,,,775.0168,,,,,,,,,,
2003-02-24,Monday,155.80474,,,,,1.82395,,,,,783.65014,,,,,,,,,,
2003-02-25,Tuesday,153.37579,,,,,1.77826,,,,,771.65945,,,,,,,,,,
2003-02-26,Wednesday,160.69516,,,,,1.83335,,,,,777.04479,,,,,,,,,,
2003-02-27,Thursday,159.25425,,,,,1.84037,,,,,763.01633,,,,,,,,,,
2003-02-28,Friday,155.93737,start,0.0242068010475275,,,1.99279,start,0.128056063444981,-100.0,-100.0,768.36565,start,-0.0085819429978808,100.0,100.0,"{'GC1_Comdty': 2.0, 'CL1_Comdty': 2.0, 'HO1_Comdty': 2.0}","{'GC1_Comdty': -7.125226335720611, 'CL1_Comdty': -34.09119835769419, 'HO1_Comdty': -37.51019799663638}","{'HO1_Comdty': 10.892092096460706, 'CL1_Comdty': 6.659663305024473, 'GC1_Comdty': -7.5679915944647504}",-0.13663800644286178,-0.0085819429978808,-0.128056063444981
2003-03-01,Saturday,155.93737,,,,,1.99279,,,,,768.36565,,,,,,,,,,
2003-03-02,Sunday,155.93737,,,,,1.99279,,,,,768.36565,,,,,,,,,,
2003-03-03,Monday,151.39139,,,,,1.90707,,,,,758.76274,,,,,,,,,,
2003-03-04,Tuesday,155.29327,,,,,1.9258,,,,,765.67823,,,,,,,,,,
2003-03-05,Wednesday,153.40121,,,,,1.90414,,,,,760.25701,,,,,,,,,,
2003-03-06,Thursday,154.96498,,,,,1.92881,,,,,769.5504,,,,,,,,,,
2003-03-07,Friday,158.88537,start,0.0189050257805425,-100.0,,2.03384,start,0.0205992603335022,,-100.0,759.73825,start,-0.0112282479051477,100.0,100.0,"{'GC1_Comdty': 2.0, 'HO1_Comdty': 2.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -8.764966012644036, 'HO1_Comdty': -28.95648173522517, 'CL1_Comdty': -33.2516035300286}","{'CL1_Comdty': 1.5595645356982115, 'HO1_Comdty': -2.1521358750242574, 'GC1_Comdty': -6.8507932859145}",-0.031827508238649896,-0.0112282479051477,-0.0205992603335022
2003-03-08,Saturday,158.88537,,,,,2.03384,,,,,759.73825,,,,,,,,,,
2003-03-09,Sunday,158.88537,,,,,2.03384,,,,,759.73825,,,,,,,,,,
2003-03-10,Monday,155.40418,,,,,1.97502,,,,,761.63273,,,,,,,,,,
2003-03-11,Tuesday,153.61903,,,,,1.88028,,,,,755.11472,,,,,,,,,,
2003-03-12,Wednesday,158.45312,,,,,1.89168,,,,,747.39759,,,,,,,,,,
2003-03-13,Thursday,152.75539,,,,,1.78979,,,,,733.78929,,,,,,,,,,
2003-03-14,Friday,152.23061,start,-0.0418840324946216,-100.0,-100.0,1.76585,start,-0.1317655272784487,,,745.61896,start,-0.0185844137767184,100.0,100.0,"{'GC1_Comdty': 2.0, 'HO1_Comdty': 2.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -3.23505195494448, 'HO1_Comdty': -25.650006541508255, 'CL1_Comdty': -32.47554586052326}","{'CL1_Comdty': -1.5203924143725651, 'HO1_Comdty': -3.77595816604284, 'GC1_Comdty': -7.075757283980563}",0.023299618717903203,-0.0185844137767184,0.0418840324946216
2003-03-15,Saturday,152.23061,,,,,1.76585,,,,,745.61896,,,,,,,,,,
2003-03-16,Sunday,152.23061,,,,,1.76585,,,,,745.61896,,,,,,,,,,
2003-03-17,Monday,151.8984,,,,,1.73726,,,,,754.91986,,,,,,,,,,
2003-03-18,Tuesday,137.80148,,,,,1.62836,,,,,756.47672,,,,,,,,,,
2003-03-19,Wednesday,130.71775,,,,,1.59577,,,,,757.19955,,,,,,,,,,
2003-03-20,Thursday,124.83786,,,,,1.56937,,,,,748.05125,,,,,,,,,,
2003-03-21,Friday,124.83786,start,-0.1799424570393563,-100.0,-100.0,1.45478,start,-0.1761587903842342,,,740.89413,start,-0.00633678896792,100.0,100.0,"{'GC1_Comdty': 1.0, 'HO1_Comdty': 2.5, 'CL1_Comdty': 2.5}","{'GC1_Comdty': -5.895463296816472, 'HO1_Comdty': -20.619526648790867, 'CL1_Comdty': -22.35916097316595}","{'GC1_Comdty': -4.251092387867932, 'CL1_Comdty': -9.008697732460968, 'HO1_Comdty': -9.115257876825831}",0.1736056680714363,-0.00633678896792,0.1799424570393563
2003-03-22,Saturday,124.83786,,,,,1.45478,,,,,740.89413,,,,,,,,,,
2003-03-23,Sunday,124.83786,,,,,1.45478,,,,,740.89413,,,,,,,,,,
2003-03-24,Monday,131.18427,,,,,1.48877,,,,,738.64156,,,,,,,,,,
2003-03-25,Tuesday,127.94273,,,,,1.39516,,,,,735.47308,,,,,,,,,,
2003-03-26,Wednesday,130.91443,,,,,1.41211,,,,,739.23826,,,,,,,,,,
2003-03-27,Thursday,139.00134,,,,,1.54147,,,,,736.12251,,,,,,,,,,
2003-03-28,Friday,136.31506,start,0.091936853130933,-100.0,-100.0,1.5616,start,0.0734269099107769,,,733.78492,start,-0.0095954465181144,100.0,100.0,"{'GC1_Comdty': 1.0, 'HO1_Comdty': 2.5, 'CL1_Comdty': 2.5}","{'GC1_Comdty': -4.463142566810314, 'HO1_Comdty': -19.342989807724283, 'CL1_Comdty': -24.853569977398394}","{'GC1_Comdty': -5.321574913257288, 'CL1_Comdty': -6.613357440964176, 'HO1_Comdty': -12.270969687948869}",-0.10153229964904739,-0.0095954465181144,-0.091936853130933
2003-03-29,Saturday,136.31506,,,,,1.5616,,,,,733.78492,,,,,,,,,,
2003-03-30,Sunday,136.31506,,,,,1.5616,,,,,733.78492,,,,,,,,,,
2003-03-31,Monday,138.9172,,,,,1.47181,,,,,736.42853,,,,,,,,,,
2003-04-01,Tuesday,133.26832,,,,,1.41461,,,,,732.65838,,,,,,,,,,
2003-04-02,Wednesday,130.2544,,,,,1.39829,,,,,735.98593,,,,,,,,,,
2003-04-03,Thursday,132.24882,,,,,1.42512,,,,,726.20015,,,,,,,,,,
2003-04-04,Friday,131.25667,start,-0.0371080788872482,-100.0,-100.0,1.42057,start,-0.090311219262295,,,730.23833,start,-0.0048332827553883,100.0,100.0,"{'GC1_Comdty': 1.0, 'HO1_Comdty': 2.5, 'CL1_Comdty': 2.5}","{'GC1_Comdty': -3.49507464421241, 'HO1_Comdty': -15.559964243771697, 'CL1_Comdty': -22.94750341867519}","{'GC1_Comdty': -6.254464493778004, 'CL1_Comdty': -8.23507034546752, 'HO1_Comdty': -9.970297458077269}",0.0322747961318599,-0.0048332827553883,0.0371080788872482
2003-04-05,Saturday,131.25667,,,,,1.42057,,,,,730.23833,,,,,,,,,,
2003-04-06,Sunday,131.25667,,,,,1.42057,,,,,730.23833,,,,,,,,,,
2003-04-07,Monday,129.25592,,,,,1.41301,,,,,727.50182,,,,,,,,,,
2003-04-08,Tuesday,128.8576,,,,,1.40978,,,,,725.79727,,,,,,,,,,
2003-04-09,Wednesday,131.61517,,,,,1.44599,,,,,726.84088,,,,,,,,,,
2003-04-10,Thursday,125.63708,,,,,1.39787,,,,,731.40611,,,,,,,,,,
2003-04-11,Friday,129.5205,start,-0.0132272897064965,-100.0,-100.0,1.42275,start,0.0015345952680965,,,738.49075,start,0.0113009953887247,100.0,100.0,"{'GC1_Comdty': 1.0, 'HO1_Comdty': 2.5, 'CL1_Comdty': 2.5}","{'GC1_Comdty': -4.921703427410339, 'HO1_Comdty': -15.300248200016851, 'CL1_Comdty': -21.26148421705705}","{'GC1_Comdty': -3.6976568551782494, 'CL1_Comdty': -9.675929068231788, 'HO1_Comdty': -9.90388880170497}",0.0245282850952212,0.0113009953887247,0.0132272897064965
2003-04-12,Saturday,129.5205,,,,,1.42275,,,,,738.49075,,,,,,,,,,
2003-04-13,Sunday,129.5205,,,,,1.42275,,,,,738.49075,,,,,,,,,,
2003-04-14,Monday,131.46345,,,,,1.46443,,,,,728.66628,,,,,,,,,,
2003-04-15,Tuesday,134.85236,,,,,1.51764,,,,,731.9568,,,,,,,,,,
2003-04-16,Wednesday,132.71543,,,,,1.48428,,,,,724.85058,,,,,,,,,,
2003-04-17,Thursday,139.38075,,,,,1.50585,,,,,730.01328,,,,,,,,,,
2003-04-18,Friday,139.38075,start,0.0761288753517783,-100.0,-100.0,1.50585,start,0.058408012651555,,,730.01328,start,-0.0114794531955884,100.0,100.0,"{'GC1_Comdty': 2.0, 'HO1_Comdty': 2.0, 'CL1_Comdty': 2.0}","{'GC1_Comdty': -5.105091468939075, 'HO1_Comdty': -18.532196917037606, 'CL1_Comdty': -26.44921594953569}","{'CL1_Comdty': -1.6630772519143489, 'HO1_Comdty': -3.635797765890256, 'GC1_Comdty': -4.125016133340473}",-0.08760832854736669,-0.0114794531955884,-0.0761288753517783
2003-04-19,Saturday,139.38075,,,,,1.50585,,,,,730.01328,,,,,,,,,,
2003-04-20,Sunday,139.38075,,,,,1.50585,,,,,730.01328,,,,,,,,,,
2003-04-21,Monday,141.78993,,,,,1.56931,,,,,749.06662,,,,,,,,,,
2003-04-22,Tuesday,135.70925,,,,,1.50724,,,,,741.9485,,,,,,,,,,
2003-04-23,Wednesday,129.69248,,,,,1.45863,,,,,738.25531,,,,,,,,,,
2003-04-24,Thursday,127.95903,,,,,1.48244,,,,,735.68668,,,,,,,,,,
2003-04-25,Friday,126.31007,start,-0.0937767948586875,-100.0,-100.0,1.47107,start,-0.0230965899657999,,,733.63696,start,0.004963854904119,100.0,100.0,"{'GC1_Comdty': 1.5, 'HO1_Comdty': 1.5, 'CL1_Comdty': 3.0}","{'GC1_Comdty': -6.39085783174861, 'HO1_Comdty': -18.136157392545684, 'CL1_Comdty': -19.30804102145954}","{'HO1_Comdty': 1.2029505496417583, 'GC1_Comdty': 0.3751976872722928, 'CL1_Comdty': -2.6904389171826497}",0.09874064976280651,0.004963854904119,0.0937767948586875
2003-04-26,Saturday,126.31007,,,,,1.47107,,,,,733.63696,,,,,,,,,,
2003-04-27,Sunday,126.31007,,,,,1.47107,,,,,733.63696,,,,,,,,,,
2003-04-28,Monday,123.41691,,,,,1.41391,,,,,740.92125,,,,,,,,,,
2003-04-29,Tuesday,121.82301,,,,,1.40754,,,,,736.83154,,,,,,,,,,
2003-04-30,Wednesday,123.65082,,,,,1.45697,,,,,743.48273,,,,,,,,,,
2003-05-01,Thursday,123.42881,,,,,1.45392,,,,,742.09223,,,,,,,,,,
2003-05-02,Friday,121.98478,start,-0.0342434296806263,-100.0,-100.0,1.43218,start,-0.0264365393896959,,,741.30653,start,0.010454176136382,100.0,100.0,"{'GC1_Comdty': 1.0, 'HO1_Comdty': 2.0, 'CL1_Comdty': 3.0}","{'GC1_Comdty': -7.813407740933915, 'HO1_Comdty': -13.612619089077032, 'CL1_Comdty': -18.220620278544377}","{'GC1_Comdty': 1.039364353954448, 'HO1_Comdty': -2.242720313354837, 'CL1_Comdty': -4.763628895800501}",0.044697605817008296,0.010454176136382,0.0342434296806263
2003-05-03,Saturday,121.98478,,,,,1.43218,,,,,741.30653,,,,,,,,,,
2003-05-04,Sunday,121.98478,,,,,1.43218,,,,,741.30653,,,,,,,,,,
2003-05-05,Monday,125.66619,,,,,1.48425,,,,,742.85765,,,,,,,,,,
2003-05-06,Tuesday,121.27732,,,,,1.41818,,,,,738.80731,,,,,,,,,,
2003-05-07,Wednesday,122.86659,,,,,1.43273,,,,,732.65121,,,,,,,,,,
2003-05-08,Thursday,125.27399,,,,,1.46222,,,,,740.03568,,,,,,,,,,
2003-05-09,Friday,128.64141,start,0.0545693487335059,-100.0,-100.0,1.48039,start,0.0336619698641232,,,740.06574,start,-0.0016737880347552,100.0,100.0,"{'GC1_Comdty': 1.0, 'HO1_Comdty': 2.0, 'CL1_Comdty': 3.0}","{'GC1_Comdty': -7.6396220877793315, 'HO1_Comdty': -14.041481426864205, 'CL1_Comdty': -19.281332281978532}","{'GC1_Comdty': 2.2614886571331287, 'HO1_Comdty': -3.121480519160324, 'CL1_Comdty': -4.617259552717931}",-0.0562431367682611,-0.0016737880347552,-0.0545693487335059
