,weekday,CL1_Comdty_PX-LAST-CHF,CL1_Comdty_start,CL1_Comdty_weeklyReturn,CL1_Comdty_buy,CL1_Comdty_sell,HO1_Comdty_PX-LAST-CHF,HO1_Comdty_start,HO1_Comdty_weeklyReturn,HO1_Comdty_buy,HO1_Comdty_sell,GC1_Comdty_PX-LAST-CHF,GC1_Comdty_start,GC1_Comdty_weeklyReturn,GC1_Comdty_buy,GC1_Comdty_sell,considered_assets,sub_considered_assets_1,sub_considered_assets_2,sub_considered_assets_3,weighted_return,weighted_return_l,weighted_return_s
2003-02-21,Friday,152.25184,start,,100.0,,1.76657,start,,,,775.0168,start,,-100.0,,"{'CL1_Comdty': 1.6666666666666665, 'HO1_Comdty': 2.0, 'GC1_Comdty': 2.333333333333333}","{'GC1_Comdty': -8.725108320776066, 'CL1_Comdty': -32.93702783286548, 'HO1_Comdty': -33.164227054564755}","{'HO1_Comdty': 0.1772262941282568, 'CL1_Comdty': 0.05752969079860228, 'GC1_Comdty': -0.017379097100361646}","{'CL1_Comdty': 15.11990134830431, 'HO1_Comdty': 13.612060562551521, 'GC1_Comdty': -2.8641142973390106}",,,
2003-02-22,Saturday,152.25184,,,,,1.76657,,,,,775.0168,,,,,,,,,,,
2003-02-23,Sunday,152.25184,,,,,1.76657,,,,,775.0168,,,,,,,,,,,
2003-02-24,Monday,155.80474,,,,,1.82395,,,,,783.65014,,,,,,,,,,,
2003-02-25,Tuesday,153.37579,,,,,1.77826,,,,,771.65945,,,,,,,,,,,
2003-02-26,Wednesday,160.69516,,,,,1.83335,,,,,777.04479,,,,,,,,,,,
2003-02-27,Thursday,159.25425,,,,,1.84037,,,,,763.01633,,,,,,,,,,,
2003-02-28,Friday,155.93737,start,0.0242068010475275,,100.0,1.99279,start,0.128056063444981,100.0,,768.36565,start,-0.0085819429978808,-100.0,-100.0,"{'HO1_Comdty': 1.6666666666666665, 'CL1_Comdty': 2.0, 'GC1_Comdty': 2.333333333333333}","{'GC1_Comdty': -7.125226335720611, 'CL1_Comdty': -34.09119835769419, 'HO1_Comdty': -37.51019799663638}","{'HO1_Comdty': 0.2447669904451029, 'CL1_Comdty': 0.14243643744646892, 'GC1_Comdty': -0.061220579270114844}","{'HO1_Comdty': 14.167364538210848, 'CL1_Comdty': 9.277521485070189, 'GC1_Comdty': -0.845035352118275}",0.0327887440454083,0.0242068010475275,0.0085819429978808
2003-03-01,Saturday,155.93737,,,,,1.99279,,,,,768.36565,,,,,,,,,,,
2003-03-02,Sunday,155.93737,,,,,1.99279,,,,,768.36565,,,,,,,,,,,
