,weekday,CL1_Comdty_PX-LAST-CHF,CL1_Comdty_start,CL1_Comdty_weeklyReturn,CL1_Comdty_buy,CL1_Comdty_sell,HO1_Comdty_PX-LAST-CHF,HO1_Comdty_start,HO1_Comdty_weeklyReturn,HO1_Comdty_buy,HO1_Comdty_sell,GC1_Comdty_PX-LAST-CHF,GC1_Comdty_start,GC1_Comdty_weeklyReturn,GC1_Comdty_buy,GC1_Comdty_sell,considered_assets,weighted_return,weighted_return_l,weighted_return_s
2003-02-21,Friday,152.25184,start,,100.0,,1.76657,start,,,,775.0168,start,,-100.0,,"{'CL1_Comdty': 21.955206676209777, 'HO1_Comdty': 7.395249666946578, 'GC1_Comdty': -5.583594151215494}",,,
2003-02-22,Saturday,152.25184,,,,,1.76657,,,,,775.0168,,,,,,,,
2003-02-23,Sunday,152.25184,,,,,1.76657,,,,,775.0168,,,,,,,,
2003-02-24,Monday,155.80474,,,,,1.82395,,,,,783.65014,,,,,,,,
2003-02-25,Tuesday,153.37579,,,,,1.77826,,,,,771.65945,,,,,,,,
2003-02-26,Wednesday,160.69516,,,,,1.83335,,,,,777.04479,,,,,,,,
2003-02-27,Thursday,159.25425,,,,,1.84037,,,,,763.01633,,,,,,,,
2003-02-28,Friday,155.93737,start,0.024206801047527572,100.0,100.0,1.99279,start,0.128056063444981,,,768.36565,start,-0.008581942997880858,-100.0,-100.0,"{'CL1_Comdty': 18.060592187787595, 'HO1_Comdty': 7.890739833937439, 'GC1_Comdty': -3.6032989931389614}",0.03278874404540843,0.024206801047527572,0.008581942997880858
2003-03-01,Saturday,155.93737,,,,,1.99279,,,,,768.36565,,,,,,,,
2003-03-02,Sunday,155.93737,,,,,1.99279,,,,,768.36565,,,,,,,,
2003-03-03,Monday,151.39139,,,,,1.90707,,,,,758.76274,,,,,,,,
2003-03-04,Tuesday,155.29327,,,,,1.9258,,,,,765.67823,,,,,,,,
2003-03-05,Wednesday,153.40121,,,,,1.90414,,,,,760.25701,,,,,,,,
2003-03-06,Thursday,154.96498,,,,,1.92881,,,,,769.5504,,,,,,,,
2003-03-07,Friday,158.88537,start,0.018905025780542584,100.0,100.0,2.03384,start,0.02059926033350229,,,759.73825,start,-0.011228247905147721,-100.0,-100.0,"{'CL1_Comdty': 18.310154836980768, 'HO1_Comdty': 16.508863245765276, 'GC1_Comdty': 1.2378162784086932}",0.030133273685690305,0.018905025780542584,0.011228247905147721
2003-03-08,Saturday,158.88537,,,,,2.03384,,,,,759.73825,,,,,,,,
2003-03-09,Sunday,158.88537,,,,,2.03384,,,,,759.73825,,,,,,,,
2003-03-10,Monday,155.40418,,,,,1.97502,,,,,761.63273,,,,,,,,
2003-03-11,Tuesday,153.61903,,,,,1.88028,,,,,755.11472,,,,,,,,
2003-03-12,Wednesday,158.45312,,,,,1.89168,,,,,747.39759,,,,,,,,
2003-03-13,Thursday,152.75539,,,,,1.78979,,,,,733.78929,,,,,,,,
2003-03-14,Friday,152.23061,start,-0.04188403249462164,100.0,100.0,1.76585,start,-0.13176552727844873,,,745.61896,start,-0.018584413776718465,-100.0,-100.0,"{'CL1_Comdty': 19.731460589891245, 'HO1_Comdty': 11.64165082716735, 'GC1_Comdty': -3.617083560889367}",-0.023299618717903172,-0.04188403249462164,0.018584413776718465
2003-03-15,Saturday,152.23061,,,,,1.76585,,,,,745.61896,,,,,,,,
2003-03-16,Sunday,152.23061,,,,,1.76585,,,,,745.61896,,,,,,,,
2003-03-17,Monday,151.8984,,,,,1.73726,,,,,754.91986,,,,,,,,
2003-03-18,Tuesday,137.80148,,,,,1.62836,,,,,756.47672,,,,,,,,
2003-03-19,Wednesday,130.71775,,,,,1.59577,,,,,757.19955,,,,,,,,
2003-03-20,Thursday,124.83786,,,,,1.56937,,,,,748.05125,,,,,,,,
2003-03-21,Friday,124.83786,start,-0.1799424570393563,100.0,100.0,1.45478,start,-0.1761587903842342,,,740.89413,start,-0.006336788967920018,-100.0,-100.0,"{'CL1_Comdty': 15.973415415109601, 'HO1_Comdty': 12.584521175025879, 'GC1_Comdty': -4.674285891288191}",-0.1736056680714363,-0.1799424570393563,0.006336788967920018
2003-03-22,Saturday,124.83786,,,,,1.45478,,,,,740.89413,,,,,,,,
