,weekday,CL1_Comdty_PX-LAST-CHF,CL1_Comdty_start,CL1_Comdty_weeklyReturn,CL1_Comdty_buy,CL1_Comdty_sell,HO1_Comdty_PX-LAST-CHF,HO1_Comdty_start,HO1_Comdty_weeklyReturn,HO1_Comdty_buy,HO1_Comdty_sell,GC1_Comdty_PX-LAST-CHF,GC1_Comdty_start,GC1_Comdty_weeklyReturn,GC1_Comdty_buy,GC1_Comdty_sell,considered_assets,weighted_return,weighted_return_l,weighted_return_s
2003-02-21,Friday,152.25184,start,,,,1.76657,start,,-100.0,,775.0168,start,,100.0,,"{'GC1_Comdty': 0.13689915861590163, 'CL1_Comdty': -0.8969388474903324, 'HO1_Comdty': -1.079225411776012}",,,
2003-02-22,Saturday,152.25184,,,,,1.76657,,,,,775.0168,,,,,,,,
2003-02-23,Sunday,152.25184,,,,,1.76657,,,,,775.0168,,,,,,,,
2003-02-24,Monday,155.80474,,,,,1.82395,,,,,783.65014,,,,,,,,
2003-02-25,Tuesday,153.37579,,,,,1.77826,,,,,771.65945,,,,,,,,
2003-02-26,Wednesday,160.69516,,,,,1.83335,,,,,777.04479,,,,,,,,
2003-02-27,Thursday,159.25425,,,,,1.84037,,,,,763.01633,,,,,,,,
2003-02-28,Friday,155.93737,start,0.024206801047527572,,,1.99279,start,0.128056063444981,-100.0,-100.0,768.36565,start,-0.008581942997880858,100.0,100.0,"{'GC1_Comdty': 0.1492701848120628, 'CL1_Comdty': -0.9537915941709837, 'HO1_Comdty': -1.181795665119667}",-0.13663800644286186,-0.008581942997880858,-0.128056063444981
2003-03-01,Saturday,155.93737,,,,,1.99279,,,,,768.36565,,,,,,,,
2003-03-02,Sunday,155.93737,,,,,1.99279,,,,,768.36565,,,,,,,,
2003-03-03,Monday,151.39139,,,,,1.90707,,,,,758.76274,,,,,,,,
2003-03-04,Tuesday,155.29327,,,,,1.9258,,,,,765.67823,,,,,,,,
2003-03-05,Wednesday,153.40121,,,,,1.90414,,,,,760.25701,,,,,,,,
2003-03-06,Thursday,154.96498,,,,,1.92881,,,,,769.5504,,,,,,,,
2003-03-07,Friday,158.88537,start,0.018905025780542584,,,2.03384,start,0.02059926033350229,-100.0,-100.0,759.73825,start,-0.011228247905147721,100.0,100.0,"{'GC1_Comdty': 0.13530113820732967, 'CL1_Comdty': -0.9421122480315456, 'HO1_Comdty': -1.2440360421885837}",-0.03182750823865001,-0.011228247905147721,-0.02059926033350229
2003-03-08,Saturday,158.88537,,,,,2.03384,,,,,759.73825,,,,,,,,
2003-03-09,Sunday,158.88537,,,,,2.03384,,,,,759.73825,,,,,,,,
2003-03-10,Monday,155.40418,,,,,1.97502,,,,,761.63273,,,,,,,,
2003-03-11,Tuesday,153.61903,,,,,1.88028,,,,,755.11472,,,,,,,,
2003-03-12,Wednesday,158.45312,,,,,1.89168,,,,,747.39759,,,,,,,,
2003-03-13,Thursday,152.75539,,,,,1.78979,,,,,733.78929,,,,,,,,
2003-03-14,Friday,152.23061,start,-0.04188403249462164,,,1.76585,start,-0.13176552727844873,-100.0,-100.0,745.61896,start,-0.018584413776718465,100.0,100.0,"{'GC1_Comdty': 0.17892161957495512, 'CL1_Comdty': -0.9395412042454802, 'HO1_Comdty': -1.1802305670220958}",0.11318111350173027,-0.018584413776718465,0.13176552727844873
2003-03-15,Saturday,152.23061,,,,,1.76585,,,,,745.61896,,,,,,,,
2003-03-16,Sunday,152.23061,,,,,1.76585,,,,,745.61896,,,,,,,,
2003-03-17,Monday,151.8984,,,,,1.73726,,,,,754.91986,,,,,,,,
2003-03-18,Tuesday,137.80148,,,,,1.62836,,,,,756.47672,,,,,,,,
2003-03-19,Wednesday,130.71775,,,,,1.59577,,,,,757.19955,,,,,,,,
2003-03-20,Thursday,124.83786,,,,,1.56937,,,,,748.05125,,,,,,,,
2003-03-21,Friday,124.83786,start,-0.1799424570393563,,,1.45478,start,-0.1761587903842342,-100.0,-100.0,740.89413,start,-0.006336788967920018,100.0,100.0,"{'GC1_Comdty': 0.15601666628412833, 'CL1_Comdty': -0.7488139758700824, 'HO1_Comdty': -1.0596903427918476}",0.1698220014163142,-0.006336788967920018,0.1761587903842342
2003-03-22,Saturday,124.83786,,,,,1.45478,,,,,740.89413,,,,,,,,
2003-03-23,Sunday,124.83786,,,,,1.45478,,,,,740.89413,,,,,,,,
2003-03-24,Monday,131.18427,,,,,1.48877,,,,,738.64156,,,,,,,,
2003-03-25,Tuesday,127.94273,,,,,1.39516,,,,,735.47308,,,,,,,,
2003-03-26,Wednesday,130.91443,,,,,1.41211,,,,,739.23826,,,,,,,,
2003-03-27,Thursday,139.00134,,,,,1.54147,,,,,736.12251,,,,,,,,
2003-03-28,Friday,136.31506,start,0.09193685313093304,,,1.5616,start,0.07342690991077698,-100.0,-100.0,733.78492,start,-0.009595446518114486,100.0,100.0,"{'GC1_Comdty': 0.16826448710004283, 'CL1_Comdty': -0.8677905911191175, 'HO1_Comdty': -1.0536956192321025}",-0.08302235642889147,-0.009595446518114486,-0.07342690991077698
2003-03-29,Saturday,136.31506,,,,,1.5616,,,,,733.78492,,,,,,,,
2003-03-30,Sunday,136.31506,,,,,1.5616,,,,,733.78492,,,,,,,,
2003-03-31,Monday,138.9172,,,,,1.47181,,,,,736.42853,,,,,,,,
2003-04-01,Tuesday,133.26832,,,,,1.41461,,,,,732.65838,,,,,,,,
2003-04-02,Wednesday,130.2544,,,,,1.39829,,,,,735.98593,,,,,,,,
2003-04-03,Thursday,132.24882,,,,,1.42512,,,,,726.20015,,,,,,,,
2003-04-04,Friday,131.25667,start,-0.03710807888724822,,,1.42057,start,-0.09031121926229507,-100.0,-100.0,730.23833,start,-0.004833282755388374,100.0,100.0,"{'GC1_Comdty': 0.17804084147451663, 'CL1_Comdty': -0.8306514651496018, 'HO1_Comdty': -0.9879559600683654}",0.0854779365069067,-0.004833282755388374,0.09031121926229507
2003-04-05,Saturday,131.25667,,,,,1.42057,,,,,730.23833,,,,,,,,
2003-04-06,Sunday,131.25667,,,,,1.42057,,,,,730.23833,,,,,,,,
2003-04-07,Monday,129.25592,,,,,1.41301,,,,,727.50182,,,,,,,,
2003-04-08,Tuesday,128.8576,,,,,1.40978,,,,,725.79727,,,,,,,,
2003-04-09,Wednesday,131.61517,,,,,1.44599,,,,,726.84088,,,,,,,,
2003-04-10,Thursday,125.63708,,,,,1.39787,,,,,731.40611,,,,,,,,
2003-04-11,Friday,129.5205,start,-0.013227289706496557,,,1.42275,start,0.0015345952680965026,-100.0,-100.0,738.49075,start,0.011300995388724705,100.0,100.0,"{'GC1_Comdty': 0.1662803722626539, 'CL1_Comdty': -0.7949771981681466, 'HO1_Comdty': -0.9838110076799156}",0.009766400120628202,0.011300995388724705,-0.0015345952680965026
2003-04-12,Saturday,129.5205,,,,,1.42275,,,,,738.49075,,,,,,,,
2003-04-13,Sunday,129.5205,,,,,1.42275,,,,,738.49075,,,,,,,,
2003-04-14,Monday,131.46345,,,,,1.46443,,,,,728.66628,,,,,,,,
2003-04-15,Tuesday,134.85236,,,,,1.51764,,,,,731.9568,,,,,,,,
2003-04-16,Wednesday,132.71543,,,,,1.48428,,,,,724.85058,,,,,,,,
2003-04-17,Thursday,139.38075,,,,,1.50585,,,,,730.01328,,,,,,,,
2003-04-18,Friday,139.38075,start,0.07612887535177836,,,1.50585,start,0.058408012651555055,-100.0,-100.0,730.01328,start,-0.011479453195588487,100.0,100.0,"{'GC1_Comdty': 0.16367170306504855, 'CL1_Comdty': -0.9139296823383107, 'HO1_Comdty': -1.073418454898836}",-0.06988746584714355,-0.011479453195588487,-0.058408012651555055
2003-04-19,Saturday,139.38075,,,,,1.50585,,,,,730.01328,,,,,,,,
2003-04-20,Sunday,139.38075,,,,,1.50585,,,,,730.01328,,,,,,,,
2003-04-21,Monday,141.78993,,,,,1.56931,,,,,749.06662,,,,,,,,
2003-04-22,Tuesday,135.70925,,,,,1.50724,,,,,741.9485,,,,,,,,
2003-04-23,Wednesday,129.69248,,,,,1.45863,,,,,738.25531,,,,,,,,
2003-04-24,Thursday,127.95903,,,,,1.48244,,,,,735.68668,,,,,,,,
2003-04-25,Friday,126.31007,start,-0.0937767948586875,,,1.47107,start,-0.023096589965799923,-100.0,-100.0,733.63696,start,0.004963854904119053,100.0,100.0,"{'GC1_Comdty': 0.15167027585571713, 'CL1_Comdty': -0.8443784647119734, 'HO1_Comdty': -1.0735111992763609}",0.028060444869918977,0.004963854904119053,0.023096589965799923
2003-04-26,Saturday,126.31007,,,,,1.47107,,,,,733.63696,,,,,,,,
2003-04-27,Sunday,126.31007,,,,,1.47107,,,,,733.63696,,,,,,,,
2003-04-28,Monday,123.41691,,,,,1.41391,,,,,740.92125,,,,,,,,
2003-04-29,Tuesday,121.82301,,,,,1.40754,,,,,736.83154,,,,,,,,
2003-04-30,Wednesday,123.65082,,,,,1.45697,,,,,743.48273,,,,,,,,
2003-05-01,Thursday,123.42881,,,,,1.45392,,,,,742.09223,,,,,,,,
2003-05-02,Friday,121.98478,start,-0.03424342968062638,,,1.43218,start,-0.026436539389695996,-100.0,-100.0,741.30653,start,0.010454176136382097,100.0,100.0,"{'GC1_Comdty': 0.13958916014094816, 'CL1_Comdty': -0.8237345219295537, 'HO1_Comdty': -1.0696466756659575}",0.036890715526078095,0.010454176136382097,0.026436539389695996
2003-05-03,Saturday,121.98478,,,,,1.43218,,,,,741.30653,,,,,,,,
2003-05-04,Sunday,121.98478,,,,,1.43218,,,,,741.30653,,,,,,,,
2003-05-05,Monday,125.66619,,,,,1.48425,,,,,742.85765,,,,,,,,
