,weekday,CL1_Comdty_PX-LAST-CHF,CL1_Comdty_start,CL1_Comdty_signal,CL1_Comdty_signal_calculation,CL1_Comdty_vola,CL1_Comdty_vola_calculation,CL1_Comdty_nonePrice,GC1_Comdty_PX-LAST-CHF,GC1_Comdty_start,GC1_Comdty_signal,GC1_Comdty_signal_calculation,GC1_Comdty_vola,GC1_Comdty_vola_calculation,GC1_Comdty_nonePrice
1997-08-15,Friday,83.08894,start,,,,,30.19532,1000.53717,start,,,,,492.8742
1997-08-16,Saturday,83.08894,,,,,,30.19532,1000.53717,,,,,,492.8742
1997-08-17,Sunday,83.08894,,,,,,30.19532,1000.53717,,,,,,492.8742
1997-08-18,Monday,82.70596,,,,,,30.05614,989.52569,,,,,,487.44984
1997-08-19,Tuesday,83.98799,,,,,,30.52204,999.91943,,,,,,492.5699
1997-08-20,Wednesday,84.23432,,,,,,30.61156,1000.2757,,,,,,492.7454
1997-08-21,Thursday,81.40498,,,,,,29.80456,999.56804,,,,,,492.3968
1997-08-22,Friday,80.43529,start,,,,,29.44953,994.75981,start,,,,,490.02822
1997-08-23,Saturday,80.43529,,,,,,29.44953,994.75981,,,,,,490.02822
1997-08-24,Sunday,80.43529,,,,,,29.44953,994.75981,,,,,,490.02822
1997-08-25,Monday,78.82814,,,,,,28.86111,991.98404,,,,,,488.66085
1997-08-26,Tuesday,78.24649,,,,,,28.64815,986.35778,,,,,,485.8893
1997-08-27,Wednesday,80.60628,,,,,,29.51213,992.32222,,,,,,488.82744
1997-08-28,Thursday,79.25545,,,,,,29.01756,978.05283,,,,,,481.7982
1997-08-29,Friday,79.99283,start,,,,,29.28754,986.85503,start,,,,,486.13425
1997-08-30,Saturday,79.99283,,,,,,29.28754,986.85503,,,,,,486.13425
1997-08-31,Sunday,79.99283,,,,,,29.28754,986.85503,,,,,,486.13425
1997-09-01,Monday,79.99283,,,,,,29.28754,986.85503,,,,,,486.13425
1997-09-02,Tuesday,80.7249,,,,,,29.55557,989.27916,,,,,,487.3284
1997-09-03,Wednesday,80.34098,,,,,,29.415,984.451,,,,,,484.95
1997-09-04,Thursday,79.26867,,,,,,29.0224,979.69997,,,,,,482.6096
