,weekday,CL1_Comdty_PX-LAST-CHF,CL1_Comdty_start,CL1_Comdty_weeklyReturn,CL1_Comdty_buy,CL1_Comdty_sell,GC1_Comdty_PX-LAST-CHF,GC1_Comdty_start,GC1_Comdty_weeklyReturn,GC1_Comdty_buy,GC1_Comdty_sell,considered_assets,weighted_return,weighted_return_l,weighted_return_s
2003-02-21,Friday,152.25184,start,,-100.0,,775.0168,start,,100.0,,"{'GC1_Comdty': 0.13689915861590163, 'CL1_Comdty': -0.8969388474903324}",,,
2003-02-22,Saturday,152.25184,,,,,775.0168,,,,,,,,
2003-02-23,Sunday,152.25184,,,,,775.0168,,,,,,,,
2003-02-24,Monday,155.80474,,,,,783.65014,,,,,,,,
2003-02-25,Tuesday,153.37579,,,,,771.65945,,,,,,,,
2003-02-26,Wednesday,160.69516,,,,,777.04479,,,,,,,,
2003-02-27,Thursday,159.25425,,,,,763.01633,,,,,,,,
2003-02-28,Friday,155.93737,start,0.024206801047527572,-100.0,-100.0,768.36565,start,-0.008581942997880858,100.0,100.0,"{'GC1_Comdty': 0.1492701848120628, 'CL1_Comdty': -0.9537915941709837}",-0.03278874404540843,-0.008581942997880858,-0.024206801047527572
2003-03-01,Saturday,155.93737,,,,,768.36565,,,,,,,,
2003-03-02,Sunday,155.93737,,,,,768.36565,,,,,,,,
2003-03-03,Monday,151.39139,,,,,758.76274,,,,,,,,
2003-03-04,Tuesday,155.29327,,,,,765.67823,,,,,,,,
2003-03-05,Wednesday,153.40121,,,,,760.25701,,,,,,,,
2003-03-06,Thursday,154.96498,,,,,769.5504,,,,,,,,
2003-03-07,Friday,158.88537,start,0.018905025780542584,-100.0,-100.0,759.73825,start,-0.011228247905147721,100.0,100.0,"{'GC1_Comdty': 0.13530113820732967, 'CL1_Comdty': -0.9421122480315456}",-0.030133273685690305,-0.011228247905147721,-0.018905025780542584
2003-03-08,Saturday,158.88537,,,,,759.73825,,,,,,,,
2003-03-09,Sunday,158.88537,,,,,759.73825,,,,,,,,
2003-03-10,Monday,155.40418,,,,,761.63273,,,,,,,,
2003-03-11,Tuesday,153.61903,,,,,755.11472,,,,,,,,
2003-03-12,Wednesday,158.45312,,,,,747.39759,,,,,,,,
2003-03-13,Thursday,152.75539,,,,,733.78929,,,,,,,,
2003-03-14,Friday,152.23061,start,-0.04188403249462164,-100.0,-100.0,745.61896,start,-0.018584413776718465,100.0,100.0,"{'GC1_Comdty': 0.17892161957495512, 'CL1_Comdty': -0.9395412042454802}",0.023299618717903172,-0.018584413776718465,0.04188403249462164
2003-03-15,Saturday,152.23061,,,,,745.61896,,,,,,,,
2003-03-16,Sunday,152.23061,,,,,745.61896,,,,,,,,
2003-03-17,Monday,151.8984,,,,,754.91986,,,,,,,,
2003-03-18,Tuesday,137.80148,,,,,756.47672,,,,,,,,
2003-03-19,Wednesday,130.71775,,,,,757.19955,,,,,,,,
2003-03-20,Thursday,124.83786,,,,,748.05125,,,,,,,,
2003-03-21,Friday,124.83786,start,-0.1799424570393563,-100.0,-100.0,740.89413,start,-0.006336788967920018,100.0,100.0,"{'GC1_Comdty': 0.15601666628412833, 'CL1_Comdty': -0.7488139758700824}",0.1736056680714363,-0.006336788967920018,0.1799424570393563
2003-03-22,Saturday,124.83786,,,,,740.89413,,,,,,,,
2003-03-23,Sunday,124.83786,,,,,740.89413,,,,,,,,
2003-03-24,Monday,131.18427,,,,,738.64156,,,,,,,,
2003-03-25,Tuesday,127.94273,,,,,735.47308,,,,,,,,
2003-03-26,Wednesday,130.91443,,,,,739.23826,,,,,,,,
2003-03-27,Thursday,139.00134,,,,,736.12251,,,,,,,,
2003-03-28,Friday,136.31506,start,0.09193685313093304,-100.0,-100.0,733.78492,start,-0.009595446518114486,100.0,100.0,"{'GC1_Comdty': 0.16826448710004283, 'CL1_Comdty': -0.8677905911191175}",-0.10153229964904753,-0.009595446518114486,-0.09193685313093304
2003-03-29,Saturday,136.31506,,,,,733.78492,,,,,,,,
2003-03-30,Sunday,136.31506,,,,,733.78492,,,,,,,,
2003-03-31,Monday,138.9172,,,,,736.42853,,,,,,,,
2003-04-01,Tuesday,133.26832,,,,,732.65838,,,,,,,,
2003-04-02,Wednesday,130.2544,,,,,735.98593,,,,,,,,
2003-04-03,Thursday,132.24882,,,,,726.20015,,,,,,,,
2003-04-04,Friday,131.25667,start,-0.03710807888724822,-100.0,-100.0,730.23833,start,-0.004833282755388374,100.0,100.0,"{'GC1_Comdty': 0.17804084147451663, 'CL1_Comdty': -0.8306514651496018}",0.03227479613185985,-0.004833282755388374,0.03710807888724822
2003-04-05,Saturday,131.25667,,,,,730.23833,,,,,,,,
2003-04-06,Sunday,131.25667,,,,,730.23833,,,,,,,,
2003-04-07,Monday,129.25592,,,,,727.50182,,,,,,,,
2003-04-08,Tuesday,128.8576,,,,,725.79727,,,,,,,,
2003-04-09,Wednesday,131.61517,,,,,726.84088,,,,,,,,
2003-04-10,Thursday,125.63708,,,,,731.40611,,,,,,,,
